iter	Passed	Remaining
0	2	2842
1	7	3572
2	9	3157
3	13	3259
4	17	3398
5	21	3501
6	23	3384
7	28	3571
8	32	3548
9	36	3626
10	42	3783
11	45	3765
12	47	3577
13	51	3637
14	55	3623
15	61	3808
16	66	3823
17	70	3857
18	75	3914
19	79	3875
20	83	3887
21	85	3800
22	90	3859
23	98	4009
24	108	4224
25	116	4355
26	123	4451
27	131	4570
28	136	4567
29	144	4680
30	151	4728
31	157	4761
32	162	4752
33	164	4672
34	168	4656
35	175	4688
36	179	4673
37	181	4583
38	186	4586
39	189	4551
40	195	4566
41	198	4527
42	203	4528
43	208	4535
44	213	4523
45	216	4492
46	220	4474
47	224	4446
48	231	4497
49	234	4460
50	239	4448
51	241	4411
52	244	4368
53	247	4337
54	251	4319
55	260	4398
56	266	4407
57	287	4667
58	302	4819
59	313	4912
60	322	4970
61	331	5020
62	339	5052
63	346	5067
64	352	5069
65	550	7786
66	559	7784
67	568	7787
68	579	7820
69	586	7790
70	590	7720
71	593	7647
72	596	7578
73	601	7522
74	605	7468
75	608	7402
76	611	7334
77	614	7259
78	617	7200
79	621	7144
80	625	7093
81	627	7023
82	630	6966
83	635	6932
84	639	6879
85	642	6831
86	644	6762
87	647	6706
88	649	6645
89	653	6608
90	656	6558
91	661	6531
92	666	6496
93	669	6455
94	672	6410
95	675	6365
96	679	6329
97	682	6285
98	685	6238
99	686	6181
100	690	6143
101	693	6104
102	694	6050
103	697	6009
104	701	5983
105	705	5946
106	708	5910
107	712	5880
108	715	5852
109	721	5840
110	727	5824
111	731	5801
112	735	5770
113	741	5760
114	765	5887
115	774	5903
116	778	5875
117	783	5859
118	789	5844
119	796	5840
120	803	5836
121	811	5836
122	816	5821
123	821	5805
124	823	5766
125	829	5753
126	835	5739
127	841	5730
128	848	5728
129	854	5718
130	860	5710
131	868	5709
132	873	5694
133	876	5665
134	880	5643
135	886	5629
136	890	5610
137	896	5601
138	903	5594
139	907	5573
140	912	5561
141	923	5578
142	927	5555
143	935	5563
144	942	5558
145	949	5551
146	957	5558
147	971	5595
148	984	5623
149	994	5633
150	996	5601
151	1004	5604
152	1009	5588
153	1018	5593
154	1023	5580
155	1029	5567
156	1034	5555
157	1043	5559
158	1048	5546
159	1055	5538
160	1060	5526
161	1065	5513
162	1069	5493
163	1078	5498
164	1081	5471
165	1087	5461
166	1089	5434
167	1094	5419
168	1099	5408
169	1104	5392
170	1110	5385
171	1116	5376
172	1122	5367
173	1127	5351
174	1132	5339
175	1138	5329
176	1142	5310
177	1147	5300
178	1150	5275
179	1155	5261
180	1159	5245
181	1164	5234
182	1169	5219
183	1174	5206
184	1183	5215
185	1191	5213
186	1194	5193
187	1196	5167
188	1198	5142
189	1202	5128
190	1207	5114
191	1213	5108
192	1220	5101
193	1227	5099
194	1232	5087
195	1237	5077
196	1247	5086
197	1250	5066
198	1257	5062
199	1263	5052
200	1271	5052
201	1281	5063
202	1286	5052
203	1307	5102
204	1320	5122
205	1330	5128
206	1338	5127
207	1344	5119
208	1352	5119
209	1363	5129
210	1372	5133
211	1381	5134
212	1390	5136
213	1399	5138
214	1406	5134
215	1409	5116
216	1420	5124
217	1425	5114
218	1434	5114
219	1438	5100
220	1445	5093
221	1451	5087
222	1461	5091
223	1468	5086
224	1476	5086
225	1486	5090
226	1495	5092
227	1504	5092
228	1510	5085
229	1517	5079
230	1528	5087
231	1536	5087
232	1544	5082
233	1551	5080
234	1555	5064
235	1562	5058
236	1570	5054
237	1578	5054
238	1583	5041
239	1587	5025
240	1594	5022
241	1598	5005
242	1604	4999
243	1610	4991
244	1620	4993
245	1627	4987
246	1633	4981
247	1641	4976
248	1649	4975
249	1657	4971
250	1663	4964
251	1672	4963
252	1679	4958
253	1687	4955
254	1694	4951
255	1698	4934
256	1702	4922
257	1708	4913
258	1715	4908
259	1722	4901
260	1730	4900
261	1740	4903
262	1748	4900
263	1756	4897
264	1763	4891
265	1771	4887
266	1776	4876
267	1781	4865
268	1787	4856
269	1794	4850
270	1800	4842
271	1807	4838
272	1814	4831
273	1821	4827
274	1829	4823
275	1836	4816
276	1841	4807
277	1847	4797
278	1854	4793
279	1860	4784
280	1866	4775
281	1871	4764
282	1874	4749
283	1878	4736
284	1881	4719
285	1885	4706
286	1889	4692
287	1894	4682
288	1897	4667
289	1900	4653
290	1904	4640
291	1907	4624
292	1912	4613
293	1915	4599
294	1918	4585
295	1922	4572
296	1928	4564
297	1932	4552
298	1936	4539
299	1940	4528
300	1945	4517
301	1949	4506
302	1954	4496
303	1959	4487
304	1964	4476
305	1968	4464
306	1971	4450
307	1976	4440
308	1979	4427
309	1984	4416
310	1989	4407
311	1994	4397
312	1997	4384
313	2001	4371
314	2004	4359
315	2007	4345
316	2011	4334
317	2015	4323
318	2019	4310
319	2023	4300
320	2027	4288
321	2031	4277
322	2034	4264
323	2038	4252
324	2040	4238
325	2044	4226
326	2050	4220
327	2053	4207
328	2057	4196
329	2060	4183
330	2063	4170
331	2071	4167
332	2074	4156
333	2078	4144
334	2081	4131
335	2084	4119
336	2089	4110
337	2092	4097
338	2094	4084
339	2099	4074
340	2102	4062
341	2106	4052
342	2108	4039
343	2114	4031
344	2119	4023
345	2122	4011
346	2127	4003
347	2131	3993
348	2134	3981
349	2137	3968
350	2140	3957
351	2145	3950
352	2150	3940
353	2155	3932
354	2158	3922
355	2163	3912
356	2167	3903
357	2172	3895
358	2180	3893
359	2186	3886
360	2190	3877
361	2200	3878
362	2210	3879
363	2226	3889
364	2243	3902
365	2252	3901
366	2260	3898
367	2267	3893
368	2274	3889
369	2279	3880
370	2288	3880
371	2312	3903
372	2321	3902
373	2328	3897
374	2335	3892
375	2340	3883
376	2347	3878
377	2354	3873
378	2360	3868
379	2368	3863
380	2374	3858
381	2381	3853
382	2388	3848
383	2395	3843
384	2403	3839
385	2412	3837
386	2417	3829
387	2424	3824
388	2432	3820
389	2439	3815
390	2443	3806
391	2450	3801
392	2457	3795
393	2463	3788
394	2470	3784
395	2475	3776
396	2484	3774
397	2490	3767
398	2498	3762
399	2504	3756
400	2511	3751
401	2516	3743
402	2523	3738
403	2528	3730
404	2535	3725
405	2540	3717
406	2547	3711
407	2554	3707
408	2561	3701
409	2569	3697
410	2577	3693
411	2584	3688
412	2593	3686
413	2602	3683
414	2610	3680
415	2620	3678
416	2627	3674
417	2633	3666
418	2641	3662
419	2649	3658
420	2658	3655
421	2666	3652
422	2672	3645
423	2677	3637
424	2682	3629
425	2689	3624
426	2697	3619
427	2706	3616
428	2714	3613
429	2721	3607
430	2726	3598
431	2738	3600
432	2746	3595
433	2753	3591
434	2760	3586
435	2768	3581
436	2774	3574
437	2780	3567
438	2786	3561
439	2795	3558
440	2803	3553
441	2812	3550
442	2819	3544
443	2825	3538
444	2833	3533
445	2838	3525
446	2841	3515
447	2844	3504
448	2847	3494
449	2852	3486
450	2856	3477
451	2859	3467
452	2862	3456
453	2865	3446
454	2870	3437
455	2875	3430
456	2878	3419
457	2882	3411
458	2886	3401
459	2889	3392
460	2894	3384
461	2898	3375
462	2901	3365
463	2906	3357
464	2911	3349
465	2916	3341
466	2921	3334
467	2926	3326
468	2930	3318
469	2934	3309
470	2938	3300
471	2943	3292
472	2947	3284
473	2952	3276
474	2955	3266
475	2960	3258
476	2964	3250
477	2969	3243
478	2975	3236
479	2980	3228
480	2984	3220
481	2990	3213
482	2993	3204
483	2996	3195
484	3002	3187
485	3007	3180
486	3010	3171
487	3016	3164
488	3020	3156
489	3025	3149
490	3029	3140
491	3033	3132
492	3041	3127
493	3045	3119
494	3048	3110
495	3053	3102
496	3056	3093
497	3062	3087
498	3067	3079
499	3070	3070
500	3074	3062
501	3078	3054
502	3085	3048
503	3089	3040
504	3092	3031
505	3095	3022
506	3101	3015
507	3108	3010
508	3111	3001
509	3117	2994
510	3123	2989
511	3126	2980
512	3131	2972
513	3136	2965
514	3140	2957
515	3144	2949
516	3150	2943
517	3154	2935
518	3158	2927
519	3163	2920
520	3167	2911
521	3172	2904
522	3175	2896
523	3181	2889
524	3187	2883
525	3190	2875
526	3194	2867
527	3198	2858
528	3202	2851
529	3206	2843
530	3211	2836
531	3217	2830
532	3221	2822
533	3227	2816
534	3232	2809
535	3236	2801
536	3239	2792
537	3244	2786
538	3250	2779
539	3253	2771
540	3258	2764
541	3262	2757
542	3267	2750
543	3274	2744
544	3280	2738
545	3284	2730
546	3309	2741
547	3317	2736
548	3325	2731
549	3332	2726
550	3337	2719
551	3343	2713
552	3347	2705
553	3351	2698
554	3358	2693
555	3362	2685
556	3366	2677
557	3370	2669
558	3375	2662
559	3378	2654
560	3381	2646
561	3385	2638
562	3390	2631
563	3395	2624
564	3400	2618
565	3406	2612
566	3415	2608
567	3418	2600
568	3424	2594
569	3431	2588
570	3437	2582
571	3441	2575
572	3445	2567
573	3448	2559
574	3451	2551
575	3456	2544
576	3460	2536
577	3465	2529
578	3468	2521
579	3471	2513
580	3473	2505
581	3476	2496
582	3479	2489
583	3483	2481
584	3487	2473
585	3491	2466
586	3495	2459
587	3499	2451
588	3502	2444
589	3506	2436
590	3509	2428
591	3512	2420
592	3517	2414
593	3521	2406
594	3524	2399
595	3528	2392
596	3531	2384
597	3535	2376
598	3539	2369
599	3546	2364
600	3550	2356
601	3553	2349
602	3556	2341
603	3559	2333
604	3562	2325
605	3566	2318
606	3569	2311
607	3572	2303
608	3577	2296
609	3581	2289
610	3584	2281
611	3587	2274
612	3591	2267
613	3594	2260
614	3598	2252
615	3605	2247
616	3609	2240
617	3614	2234
618	3618	2227
619	3621	2219
620	3623	2211
621	3627	2204
622	3630	2197
623	3636	2191
624	3640	2184
625	3644	2177
626	3648	2170
627	3651	2162
628	3655	2156
629	3659	2149
630	3662	2141
631	3666	2134
632	3671	2128
633	3675	2121
634	3679	2115
635	3684	2108
636	3689	2102
637	3692	2095
638	3697	2088
639	3700	2081
640	3704	2074
