iter	Passed	Remaining
0	8	8840
1	13	6976
2	15	5202
3	24	6033
4	28	5590
5	33	5607
6	39	5596
7	42	5289
8	44	4902
9	47	4662
10	52	4752
11	59	4882
12	62	4734
13	64	4543
14	67	4425
15	71	4382
16	74	4324
17	78	4283
18	80	4144
19	87	4294
20	91	4261
21	94	4185
22	99	4222
23	105	4306
24	107	4186
25	108	4060
26	113	4073
27	114	3989
28	120	4021
29	123	3985
30	126	3953
31	128	3900
32	131	3860
33	134	3835
34	138	3816
35	141	3787
36	144	3754
37	149	3777
38	154	3807
39	156	3757
40	159	3738
41	163	3739
42	167	3721
43	170	3714
44	174	3699
45	177	3677
46	179	3647
47	182	3625
48	186	3610
49	189	3593
50	191	3563
51	194	3540
52	196	3515
53	200	3519
54	202	3484
55	205	3456
56	208	3457
57	212	3448
58	219	3508
59	223	3508
60	226	3494
61	230	3490
62	236	3516
63	240	3511
64	243	3508
65	248	3511
66	251	3504
67	254	3485
68	257	3468
69	260	3455
70	265	3476
71	271	3501
72	277	3529
73	282	3534
74	286	3529
75	290	3526
76	291	3500
77	295	3493
78	299	3489
79	302	3473
80	304	3452
81	306	3429
82	308	3411
83	315	3438
84	318	3431
85	321	3413
86	324	3401
87	327	3389
88	331	3389
89	335	3388
90	339	3386
91	342	3376
92	345	3369
93	347	3347
94	350	3341
95	351	3310
96	354	3296
97	357	3286
98	360	3276
99	363	3273
100	364	3241
101	366	3228
102	369	3218
103	372	3205
104	373	3181
105	374	3159
106	376	3138
107	378	3129
108	382	3130
109	386	3124
110	390	3125
111	394	3130
112	398	3131
113	401	3121
114	404	3115
115	407	3104
116	411	3104
117	414	3098
118	417	3089
119	421	3090
120	424	3086
121	427	3075
122	430	3069
123	432	3056
124	435	3046
125	438	3040
126	441	3037
127	444	3028
128	447	3024
129	450	3013
130	453	3009
131	457	3006
132	460	3004
133	466	3017
134	470	3011
135	473	3008
136	477	3004
137	480	2999
138	482	2989
139	486	2986
140	490	2986
141	492	2977
142	495	2968
143	497	2960
144	500	2951
145	504	2949
146	507	2942
147	509	2934
148	513	2932
149	514	2914
150	516	2906
151	519	2898
152	523	2896
153	525	2889
154	528	2880
155	531	2877
156	534	2871
157	539	2874
158	542	2869
159	546	2866
160	548	2859
161	552	2855
162	557	2861
163	560	2859
164	563	2850
165	565	2841
166	568	2837
167	571	2831
168	574	2826
169	577	2817
170	579	2808
171	580	2794
172	584	2792
173	586	2785
174	589	2781
175	592	2774
176	595	2770
177	597	2761
178	602	2763
179	606	2761
180	609	2758
181	613	2758
182	618	2759
183	619	2746
184	621	2739
185	625	2736
186	628	2730
187	630	2722
188	632	2713
189	635	2707
190	637	2700
191	641	2700
192	645	2699
193	648	2695
194	653	2699
195	656	2692
196	658	2685
197	659	2672
198	662	2668
199	666	2664
200	668	2658
201	671	2651
202	675	2650
203	677	2645
204	680	2640
205	685	2640
206	688	2636
207	692	2636
208	695	2630
209	697	2624
210	701	2622
211	704	2619
212	710	2625
213	712	2618
214	719	2627
215	722	2624
216	726	2621
217	727	2609
218	730	2603
219	733	2600
220	736	2595
221	739	2591
222	743	2591
223	748	2592
224	752	2591
225	754	2585
226	759	2586
227	764	2587
228	767	2583
229	771	2581
230	774	2578
231	777	2573
232	782	2575
233	786	2573
234	789	2570
235	793	2568
236	796	2565
237	800	2564
238	805	2565
239	807	2557
240	810	2551
241	814	2551
242	818	2550
243	824	2553
244	826	2547
245	831	2549
246	836	2550
247	840	2549
248	845	2549
249	847	2543
250	851	2540
251	855	2540
252	860	2540
253	864	2537
254	869	2540
255	872	2536
256	876	2533
257	879	2528
258	883	2526
259	886	2521
260	890	2520
261	896	2523
262	900	2522
263	903	2518
264	908	2518
265	915	2527
266	924	2538
267	931	2545
268	939	2552
269	945	2556
270	956	2572
271	963	2578
272	971	2585
273	991	2627
274	1003	2644
275	1026	2692
276	1180	3081
277	1187	3084
278	1195	3089
279	1203	3095
280	1209	3094
281	1214	3092
282	1217	3084
283	1221	3080
284	1226	3078
285	1230	3072
286	1233	3063
287	1236	3056
288	1239	3050
289	1244	3046
290	1252	3051
291	1257	3049
292	1261	3045
293	1265	3038
294	1267	3030
295	1271	3024
296	1275	3019
297	1281	3017
298	1285	3014
299	1294	3020
300	1301	3021
301	1307	3022
302	1311	3018
303	1315	3012
304	1321	3010
305	1326	3007
306	1330	3004
307	1334	2997
308	1338	2993
309	1341	2986
310	1346	2982
311	1350	2977
312	1355	2975
313	1362	2976
314	1366	2970
315	1370	2966
316	1373	2960
317	1378	2956
318	1381	2949
319	1388	2949
320	1394	2948
321	1400	2948
322	1406	2948
323	1425	2973
324	1434	2979
325	1437	2972
326	1441	2966
327	1445	2961
328	1448	2954
329	1453	2950
330	1460	2951
331	1471	2961
332	1477	2960
333	1481	2953
334	1487	2951
335	1492	2949
336	1497	2946
337	1501	2940
338	1504	2934
339	1509	2929
340	1513	2924
341	1517	2919
342	1521	2914
343	1525	2909
